StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
04989P,365000,14,328070,0.91,0.91,0.86,0.86,-0.06,2021-03-24
04990P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04991P,40000,1,3200,0.08,0.08,0.08,0.08,-0.02,2021-03-24
04992P,8000,1,8720,1.09,1.09,1.09,1.09,0.0,2021-03-24
04993P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04994P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04995P,735000,14,155130,0.23,0.23,0.19,0.22,0.0,2021-03-24
04996P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04997P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04998P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
04999P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05000P,132000,7,15120,0.13,0.13,0.11,0.11,-0.02,2021-03-24
05001P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05002P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05003P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05004P,69000,4,15670,0.22,0.23,0.22,0.23,-0.01,2021-03-24
05005P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05006P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05007P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05008P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05009P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05010P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05011P,50000,3,44490,0.87,0.91,0.87,0.88,-0.21,2021-03-24
05012P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05013P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05014P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05015P,100000,1,21000,0.21,0.21,0.21,0.21,0.0,2021-03-24
05016P,20000,1,3400,0.17,0.17,0.17,0.17,0.0,2021-03-24
05017P,70000,2,7100,0.1,0.11,0.1,0.11,0.0,2021-03-24
05018P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05019P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05020P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05021P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05022P,68000,6,13500,0.19,0.21,0.19,0.21,0.03,2021-03-24
05023P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05024P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05025P,75000,3,26050,0.35,0.35,0.34,0.34,0.07,2021-03-24
05026P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05027P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05028P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05029P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05030P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05031P,85000,9,27850,0.29,0.33,0.29,0.33,0.05,2021-03-24
05032P,215000,10,53750,0.25,0.25,0.25,0.25,0.0,2021-03-24
05033P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05034P,2000,1,80,0.04,0.04,0.04,0.04,0.0,2021-03-24
05035P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05036P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
05037P,260000,1,54600,0.21,0.21,0.21,0.21,0.0,2021-03-24
05038P,3179000,26,1183900,0.34,0.42,0.34,0.42,0.09,2021-03-24
05039P,300000,1,306000,1.02,1.02,1.02,1.02,0.18,2021-03-24
05040P,36000,3,15920,0.42,0.45,0.42,0.45,0.0,2021-03-24
05041P,110000,3,48500,0.43,0.45,0.42,0.45,0.05,2021-03-24
05042P,0,0,0,0.0,0.0,0.0,0.0,0.0,2021-03-24
